pair_id,dam,sire,breeding_date
243,243,1091,9/16/2021
244,244,1092,4/21/2023
245,245,1093,12/11/2019
246,246,1094,4/8/2021
247,247,1095,12/21/2021
248,248,1096,3/1/2022
249,249,1097,5/12/2022
250,250,1098,5/12/2022
251,251,1099,8/10/2022
252,252,1100,9/19/2022
253,253,910,4/8/2021
254,254,914,4/8/2021
255,255,915,6/21/2023
256,256,916,4/8/2021
257,257,917,6/21/2023
258,258,918,9/29/2021
259,259,919,12/30/2021
260,260,920,12/30/2021
261,261,921,2/16/2022
262,262,922,6/29/2022
263,263,923,6/29/2022
264,264,924,1/5/2023
265,265,925,1/5/2023
266,266,911,4/8/2021
267,267,677,12/31/2020
268,268,852,2/22/2022
269,269,853,3/22/2022
270,270,854,7/7/2022
271,271,855,10/13/2022
272,272,856,10/13/2022
273,273,858,10/15/2021
274,274,859,10/15/2021
275,275,860,12/16/2021
276,276,861,12/16/2021
277,277,862,1/7/2022
278,278,1211,9/25/2019
279,279,970,9/16/2021
280,280,972,9/16/2021
281,281,973,1/20/2022
282,282,976,1/20/2022
283,283,978,6/30/2022
284,284,983,7/20/2022
285,285,984,11/14/2022
286,286,985,11/14/2022
287,287,896,9/14/2021
288,288,897,2/8/2023
289,289,898,8/29/2023
290,290,899,9/14/2021
291,291,900,2/8/2023
292,292,901,8/29/2023
293,293,902,12/16/2021
294,294,903,1/7/2022
295,295,904,6/29/2022
296,296,905,6/29/2022
297,297,906,2/8/2023
298,298,907,2/8/2023
299,299,1060,11/6/2019
300,300,1061,1/21/2020
301,301,1062,8/20/2020
302,302,731,11/14/2023
303,303,732,11/14/2023
304,304,733,11/14/2023
305,305,1127,6/15/2021
306,306,1128,8/25/2021
307,307,1129,8/25/2021
308,308,1130,6/15/2021
309,309,1131,9/28/2021
310,310,1131,9/28/2021
311,311,1132,10/12/2021
312,312,1132,10/12/2021
313,313,1133,10/26/2021
314,314,1133,10/26/2021
315,315,1134,6/15/2021
316,316,1135,10/27/2021
317,317,1136,10/27/2021
318,318,1137,4/12/2022
319,319,1138,4/12/2022
320,320,1139,9/8/2022
321,321,1140,9/8/2022
322,322,1141,2/21/2023
323,323,1142,2/21/2023
324,324,1143,3/7/2022
325,325,1144,3/7/2022
326,326,1145,3/7/2022
327,327,1144,5/13/2022
328,328,1145,5/13/2022
329,329,814,9/13/2019
330,330,815,5/21/2021
331,331,1014,8/2/2021
332,332,816,1/7/2022
333,333,785,2/5/2020
334,334,817,5/24/2022
335,335,787,2/5/2020
336,336,818,5/24/2022
337,337,819,7/13/2020
338,338,820,8/2/2022
339,339,821,10/9/2020
340,340,822,9/13/2022
341,341,823,10/9/2020
342,342,824,9/29/2022
343,343,825,10/26/2022
344,344,826,11/18/2022
345,345,827,4/5/2023
346,346,828,4/5/2023
347,347,829,4/5/2023
348,348,830,7/19/2023
349,349,831,5/21/2021
350,350,832,1/19/2022
351,351,833,11/23/2020
352,352,834,12/31/2020
353,353,835,5/11/2021
354,354,836,5/11/2021
355,355,837,10/12/2021
356,356,838,10/12/2021
357,357,839,9/13/2019
358,358,840,5/21/2021
359,359,841,1/19/2022
360,360,842,1/26/2021
361,361,844,1/26/2021
362,362,845,2/7/2020
363,363,846,4/17/2020
364,364,847,1/26/2021
365,365,848,2/16/2021
366,366,849,4/17/2020
367,367,850,7/13/2020
368,368,1063,2/1/2019
369,369,1064,3/17/2020
370,370,689,1/20/2021
371,371,1065,2/15/2022
372,372,1066,7/26/2023
373,373,1067,7/17/2019
374,374,1068,6/10/2020
375,375,703,1/20/2021
376,376,1069,2/15/2022
377,377,1070,7/26/2023
378,378,792,7/26/2023
379,379,795,7/26/2023
380,380,1071,6/10/2020
381,381,708,3/26/2021
382,382,1072,7/28/2022
383,383,1073,12/10/2020
384,384,1074,8/10/2022
385,385,1075,12/10/2020
386,386,1076,10/24/2022
387,387,671,6/23/2021
388,388,1077,10/24/2022
389,389,1078,7/28/2021
390,390,1079,7/28/2021
391,391,851,10/15/2021
392,392,857,10/15/2021
393,393,652,5/30/2019
394,394,650,10/26/2021
395,395,651,10/26/2021
396,396,997,4/27/2021
397,397,998,6/1/2023
398,398,999,4/27/2021
399,399,1000,12/21/2021
400,400,1001,12/21/2021
401,401,1002,4/18/2022
402,402,1010,4/18/2022
403,403,1011,10/13/2022
404,404,1012,10/13/2022
405,405,987,8/9/2021
406,406,988,7/26/2023
407,407,989,8/9/2021
408,408,990,7/26/2023
409,409,991,11/22/2021
410,410,992,7/26/2023
411,411,993,11/22/2021
412,412,1022,8/10/2021
413,413,1023,8/10/2021
414,414,986,2/14/2022
415,415,757,8/10/2021
416,416,758,8/10/2021
417,417,995,5/27/2022
418,418,996,8/11/2022
419,419,995,10/6/2022
420,420,1170,8/2/2021
421,421,1171,4/14/2023
422,422,1172,11/20/2023
423,423,1173,11/20/2023
424,424,1174,10/4/2021
425,425,1175,12/21/2021
426,426,1177,12/21/2021
427,427,1178,8/1/2022
428,428,1179,9/8/2022
429,429,673,12/23/2020
430,430,1185,4/27/2021
431,431,1186,9/8/2022
432,432,1187,3/24/2023
433,433,1188,3/24/2023
434,434,908,3/25/2020
435,435,909,8/16/2019
436,436,734,8/2/2022
437,437,735,10/18/2022
438,438,736,11/9/2022
439,439,737,11/9/2022
440,440,738,2/20/2023
441,441,739,6/1/2023
442,442,740,6/1/2023
443,443,741,9/29/2023
444,444,1146,4/27/2021
445,445,1147,4/27/2021
446,446,663,7/24/2019
447,447,664,7/24/2019
448,448,1152,6/12/2020
449,449,1153,12/17/2021
451,451,1154,7/15/2022
452,452,1155,6/12/2020
453,453,1156,12/7/2021
454,454,1157,10/9/2020
455,455,1158,12/9/2021
456,456,1159,7/15/2019
457,457,1160,11/23/2020
458,458,1161,7/15/2019
459,459,1162,3/26/2021
460,460,1163,11/5/2019
461,461,1164,3/26/2021
462,462,1163,11/5/2019
463,463,1165,5/20/2021
464,464,1166,1/28/2020
465,465,1168,8/26/2021
466,466,1166,1/28/2020
467,467,1209,9/1/2023
468,468,1210,9/1/2023
469,469,1101,6/10/2020
470,470,1102,7/14/2021
471,471,1103,10/2/2020
472,472,1104,7/14/2021
473,473,1105,1/19/2021
474,474,1106,1/19/2021
475,475,1107,10/1/2019
476,476,1108,10/9/2019
477,477,1109,4/17/2020
478,478,1110,4/17/2020
479,479,1189,7/31/2019
480,480,874,1/28/2020
481,481,875,1/28/2020
482,482,876,7/15/2020
483,483,877,7/15/2020
484,484,878,1/19/2021
485,485,1189,7/31/2019
486,486,1190,1/15/2020
487,487,1190,1/15/2020
488,488,1191,9/2/2020
489,489,1192,11/23/2020
490,490,1193,12/23/2020
491,491,879,6/24/2019
492,492,1194,2/22/2021
493,493,881,1/16/2023
494,494,882,4/27/2021
495,495,883,1/16/2023
496,496,884,5/10/2023
497,497,885,7/13/2021
498,498,886,5/10/2023
499,499,887,8/17/2021
500,500,888,8/29/2023
501,501,889,11/22/2021
502,502,890,2/23/2022
503,503,891,4/21/2022
504,504,892,4/21/2022
505,505,893,7/14/2022
506,506,894,9/7/2022
507,507,895,6/24/2019
508,508,1030,12/4/2019
509,509,1031,6/2/2021
510,510,1032,9/1/2023
511,511,1033,12/8/2022
512,512,1034,12/9/2022
513,513,1035,6/1/2023
514,514,1036,7/15/2020
515,515,1037,6/2/2021
516,516,1038,9/1/2023
517,517,1041,6/10/2019
518,518,1042,11/5/2020
519,519,1043,8/17/2021
520,520,1044,11/13/2023
521,521,1047,2/22/2021
522,522,1048,9/28/2021
523,523,1049,12/21/2021
524,524,1050,12/21/2021
525,525,1051,3/29/2022
526,526,1052,5/16/2022
527,527,1053,6/22/2022
528,528,1080,7/15/2020
529,529,1080,7/15/2020
530,530,1081,2/4/2021
531,531,1082,10/29/2019
532,532,1083,12/2/2019
533,533,1083,12/2/2019
534,534,1111,2/11/2020
535,535,1112,6/2/2021
536,536,1195,2/8/2023
537,537,1114,7/13/2021
538,538,1115,8/2/2021
539,539,1116,2/11/2020
540,540,1117,6/2/2021
541,541,1196,2/8/2023
542,542,1118,7/23/2020
543,543,1119,6/2/2021
544,544,1120,11/19/2021
545,545,1197,5/11/2023
546,546,1212,10/7/2019
547,547,1118,7/23/2020
548,548,1121,8/2/2021
549,549,1122,11/19/2021
550,550,1198,5/11/2023
551,551,1213,10/7/2019
552,552,1123,10/9/2020
553,553,1199,9/1/2023
554,554,643,6/24/2020
555,555,1200,4/29/2021
556,556,1201,11/19/2021
557,557,645,6/24/2020
558,558,1200,4/29/2021
559,559,646,12/10/2019
560,560,647,12/14/2020
561,561,1202,7/28/2021
562,562,648,12/10/2019
563,563,649,12/14/2020
564,564,1203,3/29/2022
565,565,1204,3/29/2022
566,566,1205,10/10/2022
567,567,1206,10/10/2022
568,568,1124,12/10/2019
569,569,1125,10/9/2020
570,570,1207,9/1/2023
571,571,1126,12/10/2019
572,572,722,5/24/2022
573,573,723,5/24/2022
574,574,724,7/22/2022
575,575,725,9/9/2022
576,576,726,11/29/2022
577,577,727,11/29/2022
578,578,728,7/19/2023
579,579,729,7/19/2023
580,580,616,8/27/2019
581,581,617,2/22/2021
582,582,618,2/8/2023
583,583,619,11/3/2022
584,584,620,12/3/2019
585,585,621,2/22/2021
586,586,622,4/5/2023
587,587,623,3/4/2020
588,588,624,7/20/2021
589,589,625,8/29/2023
590,590,626,5/18/2020
591,591,627,7/20/2021
592,592,628,8/29/2023
593,593,629,6/13/2019
594,594,630,7/15/2020
595,595,631,1/14/2022
596,596,632,11/23/2020
597,597,633,1/14/2022
598,598,634,5/5/2022
599,599,635,7/25/2022
600,600,636,7/25/2022
601,601,912,3/18/2021
602,602,1113,3/18/2021
603,603,912,3/18/2021
604,604,913,6/23/2021
605,605,943,9/4/2020
606,606,944,4/29/2021
607,607,945,8/17/2021
608,608,682,6/24/2020
609,609,946,9/4/2020
610,610,947,4/29/2021
611,611,948,8/17/2021
612,612,949,9/28/2020
613,613,950,11/10/2020
614,614,951,11/10/2020
615,615,952,12/15/2020
