breeder_pair,litter_date,litter_size
70,2/1/2021,2
70,2/24/2021,4
71,5/8/2022,1
71,6/23/2022,8
71,7/18/2022,0
71,8/8/2022,8
74,9/22/2020,0
74,10/12/2020,8
74,11/9/2020,5
74,12/17/2020,4
74,1/30/2021,6
74,2/22/2021,0
74,3/13/2021,8
75,11/24/2020,3
75,12/15/2020,2
75,1/30/2021,5
75,2/20/2021,5
76,4/5/2021,2
76,4/26/2021,2
76,5/17/2021,6
76,6/9/2021,3
76,7/23/2021,8
76,9/5/2021,5
77,5/18/2021,8
77,6/10/2021,6
77,7/5/2021,6
77,9/1/2021,5
78,1/26/2020,7
79,12/28/2020,6
79,1/22/2021,3
79,2/13/2021,0
80,5/10/2022,6
80,7/14/2022,5
80,8/27/2022,3
80,10/4/2022,2
81,1/19/2020,0
81,2/9/2020,9
81,3/3/2020,0
81,4/1/2020,5
81,4/22/2020,0
81,5/18/2020,5
81,6/9/2020,4
81,7/3/2020,5
81,8/24/2020,0
82,1/6/2020,0
82,2/18/2020,0
83,6/17/2020,8
83,7/10/2020,0
83,8/5/2020,5
83,8/31/2020,4
83,9/22/2020,0
84,8/7/2020,7
84,8/30/2020,6
84,9/20/2020,0
84,10/13/2020,5
84,12/10/2020,8
85,12/18/2020,3
85,1/8/2021,0
85,2/1/2021,9
85,2/25/2021,0
85,3/29/2021,7
85,4/22/2021,6
85,5/15/2021,0
85,6/11/2021,4
85,7/4/2021,0
86,4/17/2021,5
86,5/31/2021,9
86,7/12/2021,10
88,3/8/2021,5
89,9/18/2022,6
89,10/13/2022,0
89,11/6/2022,8
89,12/1/2022,4
89,12/24/2022,0
89,2/13/2023,0
89,3/13/2023,7
89,4/5/2023,0
90,3/16/2021,6
90,4/8/2021,5
90,5/19/2021,9
90,7/3/2021,8
91,10/20/2022,3
91,11/10/2022,0
91,12/5/2022,7
91,1/12/2023,8
91,1/20/2023,9
91,2/27/2023,0
91,3/25/2023,7
92,1/22/2020,5
92,2/13/2020,3
92,3/6/2020,0
92,4/2/2020,7
92,5/22/2020,8
92,6/9/2020,1
92,7/31/2020,0
92,8/22/2020,1
93,6/25/2021,0
93,7/15/2021,6
93,8/4/2021,0
93,11/5/2021,7
93,12/16/2021,5
94,9/11/2020,8
94,10/5/2020,4
94,10/26/2020,0
94,12/1/2020,8
95,7/5/2021,5
95,8/29/2021,0
95,10/25/2021,0
96,1/30/2022,0
96,2/24/2022,6
96,4/5/2022,4
96,4/26/2022,5
96,5/19/2022,0
96,6/19/2022,0
96,7/6/2022,5
96,8/22/2022,0
97,9/13/2020,4
98,2/15/2022,5
98,3/7/2022,0
98,3/28/2022,9
99,11/27/2020,5
99,12/20/2020,6
99,2/2/2021,8
99,2/24/2021,5
99,4/28/2021,6
99,5/21/2021,0
100,2/17/2022,6
